Name,Total
Uchoa,3078
Luna,2929
da Silva Santos,2635514
de Fatima Pereira,2867095
Tobias,4557
Berto,1404
Cortes,3198
Luíz,25
Pascoal,4246
Sanchez,1223
Juliao,2470
Reboucas,3616
Schmitt,508
Lopes da Silva,2115116
Schmitz,637
Fontana,2637
Barbosa da Silva,2205176
Ricardo,43564
Paim,2194
Ponciano,1280
Fermino,1307
Martin,6439
dos Santos Silva,2425029
Jordao,8299
Rosa da Silva,2112362
Benites,553
Fonsêca,0
de Pontes,2595399
Taveira,1713
Raimundo,46537
das Virgens,173293
Valadares,24484
de Lourdes da Silva,4213568
Vasconcellos,2567
Bernardi,4479
Quadros,3996
Salvador,206817
de Pinho,2589991
Cristina,92993
Baia,1391
Fiuza,1892
Molina,1804
Pessanha,1689
Alvares,15385
Salomao,8743
Fragoso,2445
Hipolito,3272
Palma,4601
Cortez,2355
de Padua,2587472
Vieira da Silva,2188175
de Goes,2590101
Mantovani,1263
Felisberto,2662
Trevisan,4912
de Borba,2592067
Benevides,4451
da Graca,1468286
Paulo,930299
de Resende,2596009
Felizardo,1384
Salviano,1222
Colombo,12586
Bianchi,4221
Aparecida,212533
de Holanda,2589093
de Lacerda,2593353
Freires,477
Henrique Souza,497223
da Veiga,1472539
Parreira,2065
Roza,1518
Lustosa,2231
Oliveira da Silva,2404927
Raposo,5995
Sant Ana,142400
Caires,1460
Monte,37237
Damasio,1695
da Conceicao Silva,2079717
Malta,3521
de Fatima Ferreira,2797252
Sobreira,1621
Rech,842
Laureano,2273
Eleuterio,1615
Martini,1779
Barbieri,1531
Albano,3311
Urbano,3762
de Fatima Alves,2786854
Fischer,1020
Martinelli,1359
de Jesus Santos,3208830
Anunciacao,2338
Fernandes da Silva,2204001
Avelar,6172
Lago,4953
Madureira,3623
Ferreira de Souza,2908976
Alves Ferreira,532702
Hernandes,1708
Valeriano,1277
Caitano,739
Seabra,4251
Rodrigues de Oliveira,2923376
Gonsalves,1739
Meirelles,3835
Rodriguez,763
de Jesus Pereira,2879517
Lino,10414
Fontenele,1610
Netto,15614
Colares,1368
Gimenez,1104
Osorio,13216
Parente,3101
Sato,578
Leopoldino,2434
de Fatima dos Santos,3360841
Cesar,59957
Domiciano,1859
Darc,3320
do Rocio,632279
Marin,2183
Gomes dos Santos,1118550
Nicacio,994
