Name,Population
Parra,"19,303"
Corbalan,"19,299"
Veliz,"19,202"
Falcon,"19,192"
Moran,"19,099"
Cantero,"19,047"
Otero,"19,028"
Rocha,"19,026"
Lobo,"18,986"
Cuevas,"18,829"
Roman,"18,807"
Caro,"18,705"
Jofre,"18,685"
Nievas,"18,623"
Pinto,"18,607"
Arrieta,"18,513"
Portillo,"18,501"
Rivera,"18,473"
Gramajo,"18,252"
Quintero,"18,216"
Russo,"18,215"
Carrasco,"18,194"
Castaño,"18,147"
Vivas,"18,097"
Gamarra,"18,057"
Ludueña,"17,937"
Britez,"17,836"
Britos,"17,815"
Cortes,"17,815"
Becerra,"17,777"
Prado,"17,730"
Barboza,"17,726"
Merlo,"17,726"
Hidalgo,"17,699"
Olguin,"17,699"
Taborda,"17,656"
Tolaba,"17,655"
Villa,"17,485"
Leon,"17,443"
Sarmiento,"17,436"
Cañete,"17,358"
Gaitan,"17,348"
Sanabria,"17,157"
Ovejero,"17,140"
da Silva,"17,130"
Pavon,"17,121"
Rey,"17,034"
Mora,"16,879"
Vasquez,"16,677"
Cardenas,"16,660"
Cornejo,"16,618"
Orellano,"16,573"
dos Santos,"16,496"
Alaniz,"16,373"
Araya,"16,343"
Vallejo,"16,308"
Enriquez,"16,291"
Bianchi,"16,189"
Barroso,"16,062"
Calvo,"16,019"
Lemos,"15,971"
Casco,"15,937"
Trejo,"15,917"
Andrade,"15,859"
Balmaceda,"15,840"
Palma,"15,838"
Alvarado,"15,837"
Toloza,"15,498"
Jerez,"15,458"
Brandan,"15,390"
Baigorria,"15,389"
Montoya,"15,164"
Llanos,"15,091"
Pizarro,"15,055"
Encina,"15,006"
Padilla,"14,977"
Leal,"14,892"
Sepulveda,"14,842"
Ferrero,"14,820"
Rueda,"14,758"
Cardoso,"14,735"
Lara,"14,694"
Rivarola,"14,679"
Alfaro,"14,671"
Garrido,"14,616"
Segura,"14,602"
Lugo,"14,579"
Banegas,"14,578"
Chaparro,"14,561"
Lorenzo,"14,522"
Borda,"14,479"
Cuellar,"14,369"
Colombo,"14,315"
Muller,"14,200"
Ahumada,"14,084"
Abregu,"13,989"
Quispe,"13,967"
Villar,"13,918"
Cepeda,"13,826"
Gordillo,"13,826"
Sena,"13,796"
Ordoñez,"13,683"
Lamas,"13,614"
Tevez,"13,599"
Fleitas,"13,512"
Salto,"13,508"
Pucheta,"13,489"
Carmona,"13,409"
Morel,"13,408"
Troncoso,"13,350"
Mena,"13,349"
Obregon,"13,275"
Velez,"13,266"
Centeno,"13,260"
Canteros,"13,249"
Tolosa,"13,144"
Pedraza,"13,137"
Beron,"13,118"
Garro,"13,098"
Chazarreta,"13,091"
Diez,"12,908"
Lozano,"12,872"
Colman,"12,869"
Aragon,"12,819"
Cuenca,"12,746"
Maza,"12,698"
Condori,"12,617"
Giordano,"12,607"
Vaca,"12,577"
Fontana,"12,493"
Navarrete,"12,463"
Zamora,"12,420"
Urquiza,"12,419"
Saravia,"12,413"
Tejada,"12,398"
Beltran,"12,328"
Gatica,"12,310"
Alvez,"12,286"
Pardo,"12,267"
Aparicio,"12,260"
Marino,"12,248"
Paniagua,"12,215"
Machuca,"12,184"
Lobos,"12,140"
Tejerina,"12,123"
Riveros,"12,118"
Viera,"12,079"
Vilte,"12,064"
Gigena,"12,046"
Vicente,"11,991"
Crespo,"11,957"
Figueredo,"11,941"
Sierra,"11,866"
Rojo,"11,864"
Enrique,"11,843"
Lima,"11,843"
Schmidt,"11,758"
Melgarejo,"11,755"
Santana,"11,735"
Zurita,"11,690"
Torrez,"11,681"
Garnica,"11,628"
Lizarraga,"11,606"
Velasquez,"11,574"
Choque,"11,553"
Pino,"11,528"
Villarroel,"11,399"
Farfan,"11,329"
Sayago,"11,311"
Contrera,"11,282"
Benavidez,"11,271"
Murua,"11,250"
Noguera,"11,194"
Chaile,"11,180"
Bulacio,"11,162"
Bernal,"11,108"
San Martin,"11,026"
Santa Cruz,"10,978"
Arancibia,"10,929"
Echeverria,"10,924"
Cordero,"10,845"
Allende,"10,808"
Elias,"10,782"
Aballay,"10,757"
Perea,"10,695"
Antunez,"10,690"
Orozco,"10,620"
Medrano,"10,600"
Candia,"10,580"
Saez,"10,534"
Narvaez,"10,510"
Rosas,"10,503"
Valle,"10,489"
Noriega,"10,438"
Rubio,"10,394"
Silvero,"10,336"
Leyes,"10,329"
Villalva,"10,278"
Reyna,"10,273"
Villarruel,"10,242"
Castellano,"10,129"
Olivares,"10,125"
Rosa,"10,090"
Pedernera,"10,077"
Cristaldo,"10,066"
Gauto,"10,030"
Carrera,"10,013"
Loza,"9,967"
Costilla,"9,930"
Salgado,"9,928"
Arriola,"9,904"
Cajal,"9,871"
Aramayo,"9,866"
Balbuena,"9,839"
Almaraz,"9,790"
Salomon,"9,768"
Camargo,"9,732"
Guardia,"9,719"
Grosso,"9,694"
Taboada,"9,677"
Almeida,"9,674"
Yapura,"9,621"
Martino,"9,551"
Cespedes,"9,533"
Avendaño,"9,521"
Melo,"9,509"
Andino,"9,502"
Santucho,"9,490"
Escalada,"9,480"
Avellaneda,"9,452"
Ramallo,"9,431"
Iriarte,"9,424"
Mendieta,"9,341"
Miguel,"9,330"
Roa,"9,292"
Abraham,"9,274"
Lagos,"9,263"
Menendez,"9,212"
Colque,"9,208"
Salcedo,"9,208"
Pedrozo,"9,192"
Ferrer,"9,130"
Vila,"9,121"
Serra,"9,116"
Chocobar,"9,109"
Camacho,"9,094"
Astudillo,"9,088"
Gatti,"8,999"
Zarza,"8,995"
Altamiranda,"8,980"
Linares,"8,969"
Leguiza,"8,964"
Araoz,"8,944"
Zeballos,"8,915"
Cisterna,"8,852"
Estrada,"8,850"
Zelaya,"8,850"
Fredes,"8,843"
Plaza,"8,842"
Tula,"8,786"
Rivadeneira,"8,773"
Parodi,"8,771"
Chacon,"8,769"
Esposito,"8,766"
Osorio,"8,695"
Hoyos,"8,690"
Aguiar,"8,668"
Cerda,"8,668"
Pascual,"8,655"
Concha,"8,616"
Davila,"8,607"
Yañez,"8,563"
Dure,"8,529"
Ybañez,"8,445"
Montivero,"8,435"
Florentin,"8,434"
Greco,"8,398"
Lastra,"8,354"
Herrero,"8,348"
Ale,"8,332"
Espinola,"8,321"
Bejarano,"8,307"
Soler,"8,286"
Decima,"8,279"
Manrique,"8,252"
Oyola,"8,243"
Amado,"8,239"
Busto,"8,225"
Tejeda,"8,213"
Zacarias,"8,187"
Risso,"8,170"
Recalde,"8,166"
Fonseca,"8,156"
Salguero,"8,152"
Corzo,"8,136"
Quiñones,"8,101"
Simon,"8,068"
Conti,"8,065"
Alanis,"8,057"
del Valle,"8,053"
Carreras,"8,033"
Segundo,"8,021"
Rodas,"7,980"
Conde,"7,921"
Rosso,"7,905"
Peñaloza,"7,839"
Ontivero,"7,825"
Melian,"7,821"
Magallanes,"7,791"
Arrua,"7,730"
Rearte,"7,712"
Ferro,"7,682"
Bello,"7,667"
Niz,"7,658"
Gamboa,"7,630"
Parada,"7,627"
Alfonzo,"7,624"
Bracamonte,"7,562"
Barreiro,"7,529"
Estevez,"7,502"
Mancilla,"7,502"
Osuna,"7,500"
Monteros,"7,466"
Chirino,"7,463"
Carrillo,"7,445"
Zuñiga,"7,441"
Tobares,"7,439"
Retamozo,"7,429"
Villagran,"7,419"
Varas,"7,406"
Quipildor,"7,370"
Pastrana,"7,364"
Schneider,"7,344"
Pineda,"7,336"
Ybarra,"7,322"
Abalos,"7,253"
Barragan,"7,246"
Macias,"7,224"
Gallego,"7,193"
Bermudez,"7,172"
Rizzo,"7,172"
More,"7,130"
Lombardo,"7,106"
Espeche,"7,072"
Garzon,"7,037"
Piñero,"7,024"
Barbieri,"7,018"
de Luca,"7,015"
Piedrabuena,"7,015"
Jurado,"6,969"
Iñiguez,"6,959"
Alvarenga,"6,934"
Bianco,"6,929"
Ferraro,"6,908"
Batista,"6,888"
Campo,"6,835"
Pellegrini,"6,800"
Dorado,"6,794"
Cabaña,"6,791"
Galvez,"6,778"
Pared,"6,751"
Loyola,"6,743"
Molinari,"6,735"
Puebla,"6,691"
de Los Santos,"6,687"
Arredondo,"6,682"
Benegas,"6,663"
Morinigo,"6,658"
Retamar,"6,652"
Jorge,"6,623"
Artaza,"6,620"
Barbero,"6,616"
Poblete,"6,603"
Rinaldi,"6,601"
Belizan,"6,600"
Atencio,"6,598"
Caraballo,"6,598"
Vizcarra,"6,596"
Arenas,"6,556"
Marcos,"6,551"
Loto,"6,546"
Olea,"6,542"
Vitale,"6,527"
Monti,"6,510"
Lencinas,"6,505"
Frutos,"6,494"
Sanz,"6,463"
Barria,"6,456"
Gentile,"6,449"
Ali,"6,445"
Landriel,"6,442"
Villavicencio,"6,432"
Ruarte,"6,407"
Salina,"6,357"
Ricci,"6,340"
Mesa,"6,303"
Gallegos,"6,288"
Sala,"6,271"
Neira,"6,264"
Palomo,"6,245"
Ardiles,"6,231"
Caruso,"6,227"
Liendro,"6,212"
Roca,"6,211"
Alba,"6,210"
Montaña,"6,204"
Guajardo,"6,195"
Solari,"6,181"
Barbosa,"6,175"
Toro,"6,148"
Ledezma,"6,133"
Capdevila,"6,126"
Pelozo,"6,120"
Valiente,"6,118"
Juncos,"6,103"
D'Angelo,"6,101"
Ventura,"6,096"
Urrutia,"6,088"
Mariani,"6,084"
Zambrano,"6,084"
Velardez,"6,083"
Bautista,"6,077"
Celiz,"6,061"
Lugones,"6,055"
Dias,"6,051"
Salva,"6,040"
Gudiño,"6,019"
Orona,"6,018"
del Rio,"5,991"
Castelli,"5,981"
Larrea,"5,981"
Larrosa,"5,954"
Martini,"5,944"
Patiño,"5,924"
Piñeiro,"5,902"
Mazza,"5,898"
Paiva,"5,897"
Zamudio,"5,892"
Vilca,"5,875"
Saracho,"5,869"
Barzola,"5,865"
Cabello,"5,861"
Caminos,"5,858"
Carrion,"5,858"
Sueldo,"5,854"
Vilches,"5,839"
Arellano,"5,831"
Pajon,"5,827"
Gaspar,"5,822"
Santander,"5,814"
Cabezas,"5,813"
Espejo,"5,812"
Mancini,"5,809"
Monje,"5,806"
Echegaray,"5,803"
Millan,"5,799"
Guaymas,"5,785"
de La Fuente,"5,784"
Elizondo,"5,783"
Re,"5,778"
Estigarribia,"5,773"
Galli,"5,769"
Amarillo,"5,767"
Spinelli,"5,764"
Etcheverry,"5,752"
Balderrama,"5,743"
Guillen,"5,732"
Fleita,"5,729"
Bueno,"5,704"
Echenique,"5,694"
Reales,"5,687"
Wagner,"5,670"
Santoro,"5,667"
Irusta,"5,645"
Lombardi,"5,634"
Torales,"5,633"
Lucena,"5,582"
Santiago,"5,552"
Abdala,"5,549"
Viola,"5,540"
Castañeda,"5,537"
Tissera,"5,527"
Cattaneo,"5,521"
Casanova,"5,514"
Ovando,"5,500"
Cisnero,"5,497"
Astrada,"5,478"
Esteban,"5,472"
Giles,"5,465"
Teves,"5,463"
Andres,"5,448"
Toscano,"5,443"
Longo,"5,435"
Delfino,"5,431"
Zerda,"5,421"
Orquera,"5,415"
Benedetti,"5,413"
Carbone,"5,400"
Velazco,"5,384"
Sola,"5,382"
Merino,"5,373"
Graneros,"5,371"
Basso,"5,357"
Jauregui,"5,356"
Farina,"5,350"
Pugliese,"5,350"
Astorga,"5,349"
Carreño,"5,337"
Casal,"5,337"
Porcel,"5,322"
Bobadilla,"5,320"
Pagano,"5,317"
Bareiro,"5,301"
Naranjo,"5,297"
Miguez,"5,288"
Testa,"5,286"
Velasco,"5,275"
Moretti,"5,272"
Lazo,"5,267"
Villaverde,"5,260"
Llanes,"5,259"
Infante,"5,253"
Torre,"5,240"
Encinas,"5,234"
Ontiveros,"5,234"
Jaramillo,"5,212"
Madrid,"5,211"
Jaimes,"5,204"
Cufre,"5,194"
Davalos,"5,186"
Aybar,"5,161"
Cabana,"5,157"
Valdiviezo,"5,156"
Monserrat,"5,143"
Toranzo,"5,140"
Orlando,"5,129"
Arena,"5,124"
Coman,"5,122"
Palomeque,"5,116"
Catalan,"5,108"
Roda,"5,099"
Fariña,"5,098"
Perrone,"5,087"
Latorre,"5,076"
Morelli,"5,063"
Gareca,"5,058"
Aleman,"5,054"
Saenz,"5,047"
Apaza,"5,041"
Sotomayor,"5,040"
Ballesteros,"5,037"
Servin,"5,036"
Lafuente,"5,034"
Echevarria,"5,030"
Castellanos,"5,023"
Galiano,"5,017"
Tabares,"5,016"
Colazo,"5,011"
Guiñazu,"5,002"
Riera,"4,999"
Vilchez,"4,987"
Bernardi,"4,985"
Alves,"4,983"
Juan,"4,981"
Piriz,"4,974"
Soraire,"4,974"
